subject,accuracy,f1,method
1,0.4631488385431603,0.38043978721948374,BASELINE
2,0.5136220246630341,0.35724045012455524,BASELINE
3,0.3756811012331517,0.25348716904145285,BASELINE
4,0.42529394895325495,0.2972472324584065,BASELINE
5,0.5440206481215945,0.2642797864908601,BASELINE
6,0.46888442787496415,0.3312715182222197,BASELINE
7,0.5483223401204473,0.40571749742481583,BASELINE
8,0.5595067393174649,0.4471276623777853,BASELINE
9,0.6742185259535417,0.42384536998773764,BASELINE
10,0.29825064525379985,0.25039117484861967,BASELINE
11,0.46171494121020934,0.2916825706864162,BASELINE
12,0.36248924577000285,0.24155091659726138,BASELINE
13,0.5035847433323773,0.4257494248835589,BASELINE
14,0.45110410094637227,0.409241061600739,BASELINE
15,0.5824018343364861,0.43400434873162147,BASELINE
16,0.41755090335531975,0.27292914229388937,BASELINE
17,0.39518210496128475,0.3094250807647993,BASELINE
18,0.6395182104961284,0.4147483659548398,BASELINE
19,0.4691712073415543,0.3113881041590794,BASELINE
20,0.48809865213650705,0.32331028930971745,BASELINE
