subject,accuracy,f1,method
1,0.5887582449096644,0.37110312869316414,SRAN_KNN
2,0.591052480642386,0.3704153818125156,SRAN_KNN
3,0.5293948953254947,0.3484175071574967,SRAN_KNN
4,0.49182678520217954,0.2852187620735496,SRAN_KNN
5,0.5199311729280184,0.3392713340728872,SRAN_KNN
6,0.5377114998566103,0.4190776991944434,SRAN_KNN
7,0.6085460281043877,0.403706098624637,SRAN_KNN
8,0.48695153427014626,0.28379101965883885,SRAN_KNN
9,0.6452537998279323,0.5557647985348342,SRAN_KNN
10,0.5755663894465156,0.3431911771565083,SRAN_KNN
11,0.562661313449957,0.41510223047435263,SRAN_KNN
12,0.5236593059936908,0.32434214473360495,SRAN_KNN
13,0.5359908230570691,0.41334499671066754,SRAN_KNN
14,0.6068253513048466,0.4067189349020652,SRAN_KNN
15,0.5368300372599599,0.3801825619109845,SRAN_KNN
16,0.5480355606538572,0.40440153798275613,SRAN_KNN
17,0.496988815600803,0.4141990003338867,SRAN_KNN
18,0.5732721537137941,0.38429291333173915,SRAN_KNN
19,0.5643819902494981,0.443877884463415,SRAN_KNN
20,0.5305420131918555,0.3440694906966317,SRAN_KNN
