subject,accuracy,f1,method
1,0.5391453971895612,0.5280601560264818,Zscore_KNN
2,0.5600802982506452,0.5430597694742301,Zscore_KNN
3,0.509033553197591,0.504267116826282,Zscore_KNN
4,0.5050186406653283,0.4976281684857868,Zscore_KNN
5,0.5583596214511041,0.5422197949347045,Zscore_KNN
6,0.535704043590479,0.5330059102176343,Zscore_KNN
7,0.5718382563808432,0.5605410931629604,Zscore_KNN
8,0.4198451390880413,0.41950548172210544,Zscore_KNN
9,0.6248924577000287,0.634098982348983,Zscore_KNN
10,0.5414396329222828,0.5288728155454403,Zscore_KNN
11,0.6005162030398623,0.5829073294267166,Zscore_KNN
12,0.5428735302552338,0.5374308748660254,Zscore_KNN
13,0.5784341841124175,0.5875560134945274,Zscore_KNN
14,0.5592199598508747,0.5472908294433134,Zscore_KNN
15,0.5577529378045285,0.5537099561530042,Zscore_KNN
16,0.5738457126469745,0.5453977186890028,Zscore_KNN
17,0.5276742185259535,0.5180090569033697,Zscore_KNN
18,0.5781474046458274,0.5577624241893427,Zscore_KNN
19,0.5276742185259535,0.5193987186642304,Zscore_KNN
20,0.510467450530542,0.5111898826322882,Zscore_KNN
