subject,accuracy,f1,method
1,0.6254660166332091,0.2565278757939308,BASELINE_RF
2,0.6254660166332091,0.2565278757939308,BASELINE_RF
3,0.6096931459707485,0.2549652165161117,BASELINE_RF
4,0.6254660166332091,0.2565278757939308,BASELINE_RF
5,0.6314883854316031,0.2739910551492652,BASELINE_RF
6,0.6254660166332091,0.2565278757939308,BASELINE_RF
7,0.6254660166332091,0.2565278757939308,BASELINE_RF
8,0.6254660166332091,0.2565278757939308,BASELINE_RF
9,0.6423860051620304,0.2973030425045812,BASELINE_RF
10,0.6131344995698308,0.25339259259259256,BASELINE_RF
11,0.634356180097505,0.2790968984631977,BASELINE_RF
12,0.6254660166332091,0.2565278757939308,BASELINE_RF
13,0.61198738170347,0.2530984996738421,BASELINE_RF
14,0.6380843131631775,0.29512681142088654,BASELINE_RF
15,0.6471768415018629,0.34891567089941455,BASELINE_RF
16,0.6268999139661601,0.2601592053405223,BASELINE_RF
17,0.6277602523659306,0.2725767338737615,BASELINE_RF
18,0.6254660166332091,0.2565278757939308,BASELINE_RF
19,0.6062517923716662,0.269983446067331,BASELINE_RF
20,0.4663034126756524,0.30457410488107056,BASELINE_RF
