subject,accuracy,f1,method
1,0.6360768568970462,0.3230528046400256,SRAN_RF
2,0.6515629480929166,0.31767765158881084,SRAN_RF
3,0.6286205907657012,0.2676118328493895,SRAN_RF
4,0.5672497849154,0.24703726864064104,SRAN_RF
5,0.6240321193002581,0.30122013775627227,SRAN_RF
6,0.6254660166332091,0.2565278757939308,SRAN_RF
7,0.722397476340694,0.46091535161663016,SRAN_RF
8,0.6415256667622599,0.3361042673029792,SRAN_RF
9,0.6796673358187554,0.3852919079551473,SRAN_RF
10,0.649268712360195,0.3292155539341362,SRAN_RF
11,0.6438199024949813,0.31570624431794964,SRAN_RF
12,0.6254660166332091,0.2565278757939308,SRAN_RF
13,0.6165758531689131,0.2845603670835353,SRAN_RF
14,0.6438199024949813,0.3005622188390071,SRAN_RF
15,0.6305531670965893,0.2890746526913485,SRAN_RF
16,0.6355032979638657,0.2824184517597402,SRAN_RF
17,0.635790077430456,0.29951344741967934,SRAN_RF
18,0.6254660166332091,0.2565278757939308,SRAN_RF
19,0.6409521078290794,0.29997275018734243,SRAN_RF
20,0.7114998566102667,0.4366578516559627,SRAN_RF
