subject,accuracy,f1,method
1,0.5663894465156295,0.3704211334438774,SRAN_FULL_SVM
2,0.6042443361055349,0.48311171587765384,SRAN_FULL_SVM
3,0.4777745913392601,0.3466572565229174,SRAN_FULL_SVM
4,0.5397189561227416,0.3751610125474844,SRAN_FULL_SVM
5,0.5494694579868081,0.3699657653758432,SRAN_FULL_SVM
6,0.5990823057069113,0.46762442913279,SRAN_FULL_SVM
7,0.6475480355606539,0.4451759377608133,SRAN_FULL_SVM
8,0.5325494694579868,0.3399337442554195,SRAN_FULL_SVM
9,0.6601663320906224,0.539731497002215,SRAN_FULL_SVM
10,0.5643819902494981,0.4040836995053086,SRAN_FULL_SVM
11,0.6610266704903929,0.4518204919563316,SRAN_FULL_SVM
12,0.5661026670490393,0.3780510088406808,SRAN_FULL_SVM
13,0.5385718382563809,0.42261689526253604,SRAN_FULL_SVM
14,0.6894178376828219,0.47374604810105003,SRAN_FULL_SVM
15,0.6726855832616796,0.4470143208986907,SRAN_FULL_SVM
16,0.5867507886435331,0.4495500429593792,SRAN_FULL_SVM
17,0.5847433323774017,0.38165505209239065,SRAN_FULL_SVM
18,0.555205047318612,0.3190544213363104,SRAN_FULL_SVM
19,0.6994551190134787,0.5795893835845988,SRAN_FULL_SVM
20,0.5896185833094351,0.47263208266754003,SRAN_FULL_SVM
