subject,accuracy,f1,method
1,0.6544307427588185,0.49404680647594873,BASELINE_SVM
2,0.6420992256954402,0.39106915470412945,BASELINE_SVM
3,0.40349870949240035,0.2812227861308616,BASELINE_SVM
4,0.43275021508459993,0.28842318493911967,BASELINE_SVM
5,0.5672497849154,0.2872665626210067,BASELINE_SVM
6,0.4516776598795526,0.3742070864758656,BASELINE_SVM
7,0.6042443361055349,0.4888431937835344,BASELINE_SVM
8,0.6332090622311443,0.38455650119091606,BASELINE_SVM
9,0.6963005448809865,0.5317000071436676,BASELINE_SVM
10,0.4981359334671637,0.31347495955504645,BASELINE_SVM
11,0.5494694579868081,0.5260382923661618,BASELINE_SVM
12,0.6254660166332091,0.2565278757939308,BASELINE_SVM
13,0.6022368798394035,0.5061537624810045,BASELINE_SVM
14,0.681961571551477,0.44459476831782957,BASELINE_SVM
15,0.4227572370306678,0.4491679679841636,BASELINE_SVM
16,0.5096071121307715,0.3320528275119236,BASELINE_SVM
17,0.5371379409234299,0.3914279698406946,BASELINE_SVM
18,0.5867507886435331,0.454074276711882,BASELINE_SVM
19,0.46773731000860336,0.3438923884644553,BASELINE_SVM
20,0.31947232578147405,0.21690372400714866,BASELINE_SVM
