subject,accuracy,f1,method
1,0.6286205907657012,0.3784989486863874,SRAN
2,0.6472612560940637,0.4691564234081797,SRAN
3,0.49125322626899914,0.30529928266531725,SRAN
4,0.5640952107829079,0.3670054774833336,SRAN
5,0.6420992256954402,0.4010143798526636,SRAN
6,0.5956409521078291,0.3766601156116996,SRAN
7,0.7809004875250932,0.5376693626532888,SRAN
8,0.5824490966446803,0.36046254913992265,SRAN
9,0.7169486664754804,0.6310420595083172,SRAN
10,0.6475480355606539,0.4036981116056066,SRAN
11,0.74620017206768,0.614898545831673,SRAN
12,0.7292801835388586,0.5594057367849647,SRAN
13,0.5692572411815314,0.4280679897320885,SRAN
14,0.6871236019501004,0.43333899363346856,SRAN
15,0.6781312697047864,0.4679386675312854,SRAN
16,0.720963579007743,0.5861142960691433,SRAN
17,0.5692572411815314,0.3335743811514926,SRAN
18,0.6558646400917695,0.4248065511189489,SRAN
19,0.6601663320906224,0.44978317394217965,SRAN
20,0.6028104387725839,0.4385972691737032,SRAN
